3632	182.16	0.00	3461.04	364.32
3633	184.62	0.00	3507.75	369.24
3634	183.92	0.00	3494.55	367.85
3635	183.14	0.00	3479.72	366.29
3636	184.82	0.00	3511.50	369.63
3637	184.67	0.00	3508.68	369.34
3638	187.33	0.00	3559.20	374.65
3639	183.52	0.00	3486.91	367.04
3640	185.66	0.00	3527.49	371.32
3641	182.57	0.00	3468.80	365.14
3642	191.79	0.00	3644.05	383.58
3643	186.39	0.00	3541.39	372.78
3644	186.49	0.00	3543.40	372.99
3645	185.26	0.00	3519.87	370.51
3646	185.33	0.00	3521.21	370.65
3647	187.67	0.00	3565.75	375.34
3648	184.43	0.00	3504.23	368.87
3649	182.58	0.00	3469.06	365.16
3650	182.42	0.00	3465.90	364.83
3651	181.15	0.00	3441.88	362.30
3652	184.39	0.00	3503.38	368.78
3653	181.91	0.00	3456.20	363.81
3654	179.24	0.00	3405.55	358.48
3655	164.33	0.00	3122.27	328.66
3656	179.79	0.00	3416.04	359.58
3657	180.77	0.00	3434.66	361.54
3658	184.00	0.00	3495.97	368.00
3659	182.91	0.00	3475.27	365.82
3660	181.62	0.00	3450.72	363.23
3661	184.67	0.00	3508.65	369.33
3662	186.98	0.00	3552.69	373.97
3663	183.04	0.00	3477.78	366.08
3664	182.37	0.00	3465.04	364.74
3665	179.12	0.00	3403.21	358.23
3666	186.81	0.00	3549.34	373.61
3667	186.44	0.00	3542.44	372.89
3668	184.17	0.00	3499.32	368.35
3669	187.34	0.00	3559.40	374.67
3670	188.32	0.00	3578.05	376.64
3671	186.37	0.00	3541.06	372.74
3672	174.54	0.00	3316.30	349.08
3673	183.19	0.00	3480.59	366.38
3674	183.14	0.00	3479.72	366.29
3675	182.88	0.00	3474.76	365.76
3676	182.17	0.00	3461.21	364.34
3677	181.91	0.00	3456.33	363.82
3678	184.06	0.00	3497.19	368.13
3679	167.79	0.00	3188.06	335.59
3680	174.28	0.00	3311.28	348.56
3681	184.11	0.00	3498.17	368.23
3682	182.75	0.00	3472.26	365.50
3683	186.13	0.00	3536.38	372.25
3684	185.64	0.00	3527.18	371.28
3685	184.91	0.00	3513.36	369.83
3686	179.66	0.00	3413.53	359.32
3687	184.57	0.00	3506.80	369.14
3688	181.69	0.00	3452.04	363.37
3689	182.80	0.00	3473.14	365.59
3690	185.07	0.00	3516.40	370.15
3691	184.13	0.00	3498.47	368.26
3692	185.08	0.00	3516.55	370.16
3693	174.72	0.00	3319.59	349.43
3694	186.23	0.00	3538.29	372.45
3695	183.30	0.00	3482.64	366.59
3696	181.68	0.00	3451.97	363.37
3697	184.89	0.00	3512.96	369.78
3698	179.49	0.00	3410.39	358.99
3699	181.82	0.00	3454.59	363.64
3700	185.80	0.00	3530.29	371.61
3701	183.00	0.00	3476.95	366.00
3702	181.65	0.00	3451.38	363.30
3703	185.47	0.00	3523.84	370.93
3704	181.98	0.00	3457.61	363.96
3705	173.52	0.00	3296.86	347.04
3706	182.28	0.00	3463.34	364.56
3707	185.70	0.00	3528.36	371.41
3708	184.50	0.00	3505.47	369.00
3709	186.40	0.00	3541.61	372.80
3710	178.34	0.00	3388.55	356.69
3711	184.30	0.00	3501.61	368.59
3712	193.75	0.00	3681.27	387.50
3713	191.66	0.00	3641.47	383.31
3714	192.94	0.00	3665.92	385.89
3715	193.05	0.00	3667.86	386.09
3716	188.00	0.00	3572.05	376.01
3717	184.87	0.00	3512.48	369.73
3718	187.17	0.00	3556.22	374.34
3719	185.18	0.00	3518.37	370.35
3720	188.27	0.00	3577.18	376.55
3721	165.54	0.00	3145.23	331.08
3722	192.78	0.00	3662.82	385.56
3723	192.80	0.00	3663.25	385.61
3724	179.05	0.00	3401.86	358.09
3725	194.37	0.00	3693.05	388.74
3726	188.42	0.00	3580.04	376.85
3727	189.53	0.00	3601.01	379.05
3728	187.90	0.00	3570.05	375.79
3729	192.86	0.00	3664.32	385.72
3730	189.25	0.00	3595.69	378.49
3731	189.99	0.00	3609.88	379.99
